"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2013,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","0 (Under 1)","England","E92000001","England","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
