"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Anus","All Anus","0","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","1","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","1","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","2","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2020,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","0","Age-specific","[u]","[u]","[u]","[note2]"
2021,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","3","Age-specific","0.4","0.1","1.3",NA
2022,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","All Bladder","2","Age-specific","[u]","[u]","[u]","[note2]"
2013,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2014,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","1","Age-specific","[u]","[u]","[u]","[note2]"
2015,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2016,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
2017,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","1","Age-specific","[u]","[u]","[u]","[note2]"
2018,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","2","Age-specific","[u]","[u]","[u]","[note2]"
2019,"Females","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Bladder","Bladder - malignant or in situ","0","Age-specific","[u]","[u]","[u]","[note2]"
