"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","ICD10 code","Site description","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2013,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","241","Age-specific","17.2","15.1","19.5",NA
2014,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","290","Age-specific","20.6","18.3","23.2",NA
2015,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","274","Age-specific","19.4","17.2","21.9",NA
2016,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","255","Age-specific","18","15.8","20.3",NA
2017,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","291","Age-specific","20.4","18.1","22.9",NA
2018,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","254","Age-specific","17.8","15.7","20.1",NA
2019,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","260","Age-specific","18.2","16.1","20.6",NA
2020,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","254","Age-specific","17.9","15.8","20.3",NA
2021,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","245","Age-specific","17.3","15.2","19.6",NA
2022,"Persons","00 to 24","Government Office Region","E12000004","East Midlands","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","243","Age-specific","17","14.9","19.3",NA
2013,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","335","Age-specific","18.9","16.9","21.1",NA
2014,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","361","Age-specific","20.2","18.2","22.4",NA
2015,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","407","Age-specific","22.7","20.5","25",NA
2016,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","385","Age-specific","21.4","19.3","23.6",NA
2017,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","336","Age-specific","18.6","16.7","20.7",NA
2018,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","367","Age-specific","20.4","18.3","22.6",NA
2019,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","354","Age-specific","19.7","17.7","21.8",NA
2020,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","360","Age-specific","20","18","22.2",NA
2021,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","380","Age-specific","21.1","19","23.3",NA
2022,"Persons","00 to 24","Government Office Region","E12000006","East of England","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","354","Age-specific","19.5","17.5","21.6",NA
2013,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","589","Age-specific","21.8","20.1","23.7",NA
2014,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","594","Age-specific","21.8","20.1","23.7",NA
2015,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","601","Age-specific","21.9","20.2","23.7",NA
2016,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","520","Age-specific","18.8","17.2","20.5",NA
2017,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","524","Age-specific","19","17.4","20.7",NA
2018,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","512","Age-specific","18.6","17","20.3",NA
2019,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","565","Age-specific","20.5","18.9","22.3",NA
2020,"Persons","00 to 24","Government Office Region","E12000007","London","All quintiles","All stages","C00-C97 excl. C44","All malignant cancers excluding non-melanoma skin cancer (NMSC)","520","Age-specific","19.2","17.6","20.9",NA
